"date","price","open","high","low","vol"
2018-09-11,2664.8,2668.49,2680.57,2652.7,9.99e+09
2018-09-12,2656.11,2659.74,2672.07,2647.17,9e+09
2018-09-13,2686.58,2679.21,2689.06,2653.19,1.073e+10
2018-09-14,2681.64,2688.78,2694.92,2675.29,1e+10
2018-09-17,2651.79,2671.29,2671.29,2647.92,8.82e+09
2018-09-18,2699.95,2644.3,2700.19,2644.3,1.158e+10
2018-09-19,2730.85,2694.8,2746.08,2690.99,1.415e+10
2018-09-20,2729.24,2732.17,2743.96,2724.08,1.114e+10
2018-09-21,2797.48,2733.87,2797.49,2722.03,1.58e+10
2018-09-25,2781.14,2775.07,2790.03,2771.16,1.12e+10
2018-09-26,2806.81,2785.32,2827.34,2783.34,1.396e+10
2018-09-27,2791.77,2805.79,2810.51,2786.32,1.24e+10
2018-09-28,2821.35,2794.26,2821.76,2791.84,1.343e+10
2018-10-08,2716.51,2768.21,2771.94,2710.18,1.495e+10
2018-10-09,2721.01,2713.73,2734.31,2711.2,1.168e+10
2018-10-10,2725.84,2723.72,2743.55,2703.06,1.135e+10
2018-10-11,2583.46,2643.07,2661.29,2560.32,1.972e+10
2018-10-12,2606.91,2574.04,2615.92,2536.67,1.701e+10
2018-10-15,2568.1,2605.91,2611.97,2564.74,1.186e+10
2018-10-16,2546.33,2567.76,2597.72,2536.44,1.194e+10
2018-10-17,2561.61,2574.31,2582.55,2517.57,1.3e+10
2018-10-18,2486.42,2544.91,2544.91,2485.62,1.254e+10
2018-10-19,2550.47,2460.08,2553.39,2449.2,1.473e+10
2018-10-22,2654.88,2565.64,2675.41,2565.64,2.119e+10
2018-10-23,2594.83,2652.65,2659.81,2583.26,1.783e+10
2018-10-24,2603.3,2579.97,2640.4,2577.77,1.601e+10
2018-10-25,2603.8,2540.93,2606.1,2531.53,1.62e+10
2018-10-26,2598.85,2610.9,2626.12,2580.85,1.589e+10
2018-10-29,2542.1,2593.59,2595.54,2529.19,1.342e+10
2018-10-30,2568.05,2538.57,2586.92,2521.78,1.667e+10
2018-10-31,2602.78,2573.01,2612.92,2567.03,1.806e+10
2018-11-01,2606.24,2617.03,2636.8,2603.65,2.009e+10
2018-11-02,2676.48,2649.25,2676.48,2628.87,2.25e+10
2018-11-05,2665.43,2665.43,2673.19,2639.27,1.938e+10
2018-11-06,2659.36,2660.72,2660.86,2635.32,1.637e+10
2018-11-07,2641.34,2659.84,2675.68,2639.25,1.732e+10
2018-11-08,2635.63,2660.09,2662.37,2632.3,1.596e+10
2018-11-09,2598.87,2621.24,2621.24,2598.16,1.524e+10
2018-11-12,2630.52,2593.2,2631.17,2590.21,1.75e+10
2018-11-13,2654.88,2600.5,2666.49,2597.35,2.493e+10
2018-11-14,2632.24,2648.31,2658.31,2627.96,2.384e+10
2018-11-15,2668.17,2632.14,2668.17,2631.89,2.078e+10
2018-11-16,2679.11,2669.78,2695.57,2657.03,2.422e+10
2018-11-19,2703.51,2681.9,2703.51,2674.18,2.317e+10
2018-11-20,2645.85,2684.29,2690.83,2643.36,2.159e+10
2018-11-21,2651.51,2619.82,2653.8,2617.78,1.826e+10
2018-11-22,2645.43,2655.9,2658,2634.48,1.493e+10
2018-11-23,2579.48,2640.67,2642.04,2577.35,1.915e+10
2018-11-26,2575.81,2580.84,2595,2568.04,1.343e+10
